TC,TC,TC,msTime
82,0,0,1579748387864
82,0,0,1579748387884
82,0,0,1579748387904
82,0,0,1579748387924
82,0,0,1579748387944
82,0,0,1579748387964
82,0,0,1579748387984
82,0,0,1579748388004
82,0,0,1579748388024
82,0,0,1579748388044
82,0,0,1579748388064
82,0,0,1579748388084
82,0,0,1579748388104
83,0,0,1579748388124
83,0,0,1579748388144
83,0,0,1579748388164
83,0,0,1579748388184
83,0,0,1579748388204
82,0,0,1579748388224
82,0,0,1579748388244
82,0,0,1579748388264
82,0,0,1579748388284
82,0,0,1579748388304
82,0,0,1579748388324
82,0,0,1579748388344
82,0,0,1579748388364
82,0,0,1579748388384
82,0,0,1579748388404
82,0,0,1579748388424
82,0,0,1579748388444
82,0,0,1579748388464
82,0,0,1579748388484
82,0,0,1579748388504
82,0,0,1579748388524
82,0,0,1579748388544
83,0,0,1579748388564
83,0,0,1579748388584
83,0,0,1579748388604
83,0,0,1579748388624
83,0,0,1579748388644
82,0,0,1579748388664
82,0,0,1579748388684
82,0,0,1579748388704
82,0,0,1579748388724
82,0,0,1579748388744
82,0,0,1579748388764
82,0,0,1579748388784
82,0,0,1579748388804
82,0,0,1579748388824
82,0,0,1579748388844
82,0,0,1579748388864
82,0,0,1579748388884
82,0,0,1579748388904
82,0,0,1579748388924
82,0,0,1579748388944
82,0,0,1579748388964
82,0,0,1579748388984
82,0,0,1579748389004
82,0,0,1579748389024
82,0,0,1579748389044
82,0,0,1579748389064
82,0,0,1579748389084
82,0,0,1579748389104
82,0,0,1579748389124
82,0,0,1579748389144
82,0,0,1579748389164
82,0,0,1579748389184
82,0,0,1579748389204
82,0,0,1579748389224
82,0,0,1579748389244
82,0,0,1579748389264
82,0,0,1579748389284
82,0,0,1579748389304
82,0,0,1579748389324
82,0,0,1579748389344
82,0,0,1579748389364
82,0,0,1579748389384
82,0,0,1579748389404
82,0,0,1579748389424
82,0,0,1579748389444
82,0,0,1579748389464
82,0,0,1579748389484
83,0,0,1579748389504
83,0,0,1579748389524
83,0,0,1579748389544
83,0,0,1579748389564
83,0,0,1579748389584
83,0,0,1579748389604
83,0,0,1579748389624
83,0,0,1579748389644
83,0,0,1579748389664
83,0,0,1579748389684
83,0,0,1579748389704
81,0,0,1579748389724
81,0,0,1579748389744
81,0,0,1579748389764
81,0,0,1579748389784
81,0,0,1579748389804
82,0,0,1579748389824
82,0,0,1579748389844
82,0,0,1579748389864
82,0,0,1579748389884
82,0,0,1579748389904
82,0,0,1579748389924
81,0,0,1579748389944
81,0,0,1579748389964
81,0,0,1579748389984
81,0,0,1579748390004
81,0,0,1579748390024
83,0,0,1579748390044
83,0,0,1579748390064
83,0,0,1579748390084
83,0,0,1579748390104
83,0,0,1579748390124
82,0,0,1579748390144
82,0,0,1579748390164
82,0,0,1579748390184
82,0,0,1579748390204
82,0,0,1579748390224
82,0,0,1579748390244
82,0,0,1579748390264
82,0,0,1579748390284
82,0,0,1579748390304
82,0,0,1579748390324
82,0,0,1579748390344
83,0,0,1579748390364
83,0,0,1579748390384
83,0,0,1579748390404
83,0,0,1579748390424
83,0,0,1579748390444
83,0,0,1579748390464
83,0,0,1579748390484
83,0,0,1579748390504
83,0,0,1579748390524
83,0,0,1579748390544
83,0,0,1579748390564
82,0,0,1579748390584
82,0,0,1579748390604
82,0,0,1579748390624
82,0,0,1579748390644
82,0,0,1579748390664
82,0,0,1579748390684
82,0,0,1579748390704
82,0,0,1579748390724
82,0,0,1579748390744
82,0,0,1579748390764
83,0,0,1579748390784
83,0,0,1579748390804
83,0,0,1579748390824
83,0,0,1579748390844
83,0,0,1579748390864
83,0,0,1579748390884
82,0,0,1579748390904
82,0,0,1579748390924
82,0,0,1579748390944
82,0,0,1579748390964
82,0,0,1579748390984
83,0,0,1579748391004
83,0,0,1579748391024
83,0,0,1579748391044
83,0,0,1579748391064
83,0,0,1579748391084
82,0,0,1579748391104
82,0,0,1579748391124
82,0,0,1579748391144
82,0,0,1579748391164
82,0,0,1579748391184
82,0,0,1579748391204
82,0,0,1579748391224
82,0,0,1579748391244
82,0,0,1579748391264
82,0,0,1579748391284
82,0,0,1579748391304
82,0,0,1579748391324
82,0,0,1579748391344
82,0,0,1579748391364
82,0,0,1579748391384
82,0,0,1579748391404
82,0,0,1579748391424
82,0,0,1579748391444
82,0,0,1579748391464
82,0,0,1579748391484
82,0,0,1579748391504
82,0,0,1579748391524
83,0,0,1579748391544
83,0,0,1579748391564
83,0,0,1579748391584
83,0,0,1579748391604
83,0,0,1579748391624
83,0,0,1579748391644
83,0,0,1579748391664
83,0,0,1579748391684
83,0,0,1579748391704
83,0,0,1579748391724
83,0,0,1579748391744
83,0,0,1579748391764
83,0,0,1579748391784
83,0,0,1579748391804
83,0,0,1579748391824
83,0,0,1579748391844
83,0,0,1579748391864
83,0,0,1579748391884
83,0,0,1579748391904
83,0,0,1579748391924
83,0,0,1579748391944
83,0,0,1579748391964
83,0,0,1579748391984
83,0,0,1579748392004
83,0,0,1579748392024
83,0,0,1579748392045
82,0,0,1579748392065
82,0,0,1579748392085
82,0,0,1579748392105
82,0,0,1579748392125
82,0,0,1579748392145
82,0,0,1579748392165
83,0,0,1579748392185
83,0,0,1579748392205
83,0,0,1579748392225
83,0,0,1579748392245
83,0,0,1579748392265
82,0,0,1579748392285
82,0,0,1579748392305
82,0,0,1579748392325
82,0,0,1579748392345
82,0,0,1579748392365
81,0,0,1579748392385
81,0,0,1579748392405
81,0,0,1579748392425
81,0,0,1579748392445
81,0,0,1579748392465
81,0,0,1579748392485
82,0,0,1579748392505
82,0,0,1579748392525
82,0,0,1579748392545
82,0,0,1579748392565
82,0,0,1579748392585
82,0,0,1579748392605
82,0,0,1579748392625
82,0,0,1579748392645
82,0,0,1579748392665
82,0,0,1579748392685
83,0,0,1579748392705
83,0,0,1579748392725
83,0,0,1579748392745
